Model,N,Class,Result
MobileNetV2,3,26,0.047368421
MobileNetV2,3,27,0.289473684
MobileNetV2,3,28,0.478947368
MobileNetV2,3,29,0.142105263
InceptionResnetV2,3,Total,0.454385965
InceptionResnetV2,3,0,0.336842105
InceptionResnetV2,3,1,0.463157895
InceptionResnetV2,3,2,0.336842105
InceptionResnetV2,3,3,0.373684211
InceptionResnetV2,3,4,0.431578947
InceptionResnetV2,3,5,0.726315789
InceptionResnetV2,3,6,0.573684211
InceptionResnetV2,3,7,0.557894737
InceptionResnetV2,3,8,0.6
InceptionResnetV2,3,9,0.205263158
InceptionResnetV2,3,10,0.352631579
InceptionResnetV2,3,11,0.373684211
InceptionResnetV2,3,12,0.384210526
InceptionResnetV2,3,13,0.436842105
InceptionResnetV2,3,14,0.378947368
InceptionResnetV2,3,15,0.389473684
InceptionResnetV2,3,16,0.457894737
InceptionResnetV2,3,17,0.594736842
InceptionResnetV2,3,18,0.421052632
InceptionResnetV2,3,19,0.131578947
InceptionResnetV2,3,20,0.278947368
InceptionResnetV2,3,21,0.557894737
InceptionResnetV2,3,22,0.594736842
InceptionResnetV2,3,23,0.563157895
InceptionResnetV2,3,24,0.557894737
InceptionResnetV2,3,25,0.284210526
InceptionResnetV2,3,26,0.531578947
InceptionResnetV2,3,27,0.352631579
InceptionResnetV2,3,28,0.742105263
InceptionResnetV2,3,29,0.642105263
ResneXt50,3,Total,0.244912281
ResneXt50,3,0,0.110526316
ResneXt50,3,1,0.6
ResneXt50,3,2,0.031578947
ResneXt50,3,3,0.247368421
ResneXt50,3,4,0.347368421
ResneXt50,3,5,0.605263158
ResneXt50,3,6,0.268421053
ResneXt50,3,7,0.231578947
ResneXt50,3,8,0.152631579
ResneXt50,3,9,0.005263158
ResneXt50,3,10,0.247368421
ResneXt50,3,11,0.257894737
ResneXt50,3,12,0.021052632
ResneXt50,3,13,0.026315789
ResneXt50,3,14,0.452631579
ResneXt50,3,15,0.026315789
ResneXt50,3,16,0.389473684
ResneXt50,3,17,0.289473684
ResneXt50,3,18,0.226315789
ResneXt50,3,19,0.126315789
ResneXt50,3,20,0.184210526
ResneXt50,3,21,0.005263158
ResneXt50,3,22,0.521052632
ResneXt50,3,23,0.005263158
ResneXt50,3,24,0.394736842
ResneXt50,3,25,0.468421053
ResneXt50,3,26,0.021052632
